RegionID,CountyName,2022-06-30,2023-02-28,Percent Gain
97567,San Francisco County,1264256.9005935956,1133922.7014637017,-10.309154655885145
84619,Cook County,163921.21890279523,157107.35239270225,-4.156793461945629
89925,Canadian County,244509.5530540972,251018.17018764437,2.6619070920747
62015,Kings County,1190312.9563637057,1186246.5141962797,-0.3416279849501547
69431,Wake County,526087.6049069617,508663.4160131752,-3.3120318234579837
91889,Harris County,369354.0084080301,368629.96900770254,-0.19602857525446993
96934,Riverside County,764096.009758831,724176.1490241621,-5.224456118710618
61793,Bronx County,590084.0586477432,585046.0439037652,-0.8537791641962555
417444,Maricopa County,605782.7397419101,566929.3573446643,-6.413748667352104
70810,Gwinnett County,581452.7492088379,568028.3803357364,-2.3087635050943467
97940,Santa Clara County,1482084.65660635,1394978.650245134,-5.877262541848982
93137,El Paso County,224362.1168154972,231168.3282768937,3.033583190424949
