RegionID,CountyName,2007-03-31,2012-03-31,Gain
62030,Kings County,666849.0095224087,656869.4156293903,-9979.593893018435
62044,Kings County,498105.3187579712,430875.3052453501,-67230.01351262111
62032,Kings County,546600.2162998152,448045.3404316704,-98554.8758681448
96825,San Bernardino County,378551.525065583,123317.88012909464,-255233.64493648836
92551,Williamson County,259989.19391191748,252555.71893077125,-7433.474981146224
61796,Bronx County,226539.60441890825,166031.5646644037,-60508.03975450454
92481,Cameron County,88076.52223182836,82374.85249979827,-5701.669732030088
96546,San Diego County,504318.6132967979,282537.01621844526,-221781.59707835264
91968,Fort Bend County,300967.3012460752,306878.11908203654,5910.817835961352
62017,Kings County,354734.79996015603,340263.273802552,-14471.526157604007
61798,Bronx County,396994.6093962014,301346.639424641,-95647.96997156041
93146,El Paso County,170421.02425935792,156491.84474283326,-13929.179516524659
84693,Cook County,184479.5218590503,74127.1600317468,-110352.3618273035
84646,Cook County,382789.52381745895,273989.27630921506,-108800.24750824389
62034,Kings County,651982.9664478969,610420.9824975253,-41561.98395037162
97970,Santa Cruz County,644876.806135225,311663.46003282606,-333213.34610239894
98432,Sacramento County,319109.8271239601,120604.50088350468,-198505.32624045538
97023,Orange County,630083.0061184636,356461.07880642946,-273621.9273120341
91922,Harris County,190218.68049691155,183251.0907662321,-6967.589730679436
97431,Fresno County,308476.45498363423,146800.92137675718,-161675.53360687706
62045,Kings County,575373.1986569734,520082.8268716314,-55290.37178534205
62088,Queens County,549796.5037708938,468954.93308491627,-80841.57068597752
74126,Montgomery County,136222.06889273078,141667.76347419983,5445.694581469055
97104,Ventura County,582827.3075971579,263510.9749757279,-319316.33262143
399727,Hidalgo County,81612.72169605391,80817.63994541824,-795.0817506356689
96846,San Bernardino County,379883.0700951277,158590.913891238,-221292.1562038897
96690,San Diego County,568236.2229661046,292350.82186610554,-275885.4010999991
84633,Cook County,238413.55739939483,116012.8275232788,-122400.72987611603
62039,Kings County,505365.31146693166,477696.7289334193,-27668.58253351238
96468,San Bernardino County,633322.1760155716,330362.26634746,-302959.9096681116
92045,Brazoria County,213673.69535899145,193382.55605844912,-20291.13930054233
100179,Franklin County,208898.36115247963,179717.2395868404,-29181.121565639216
62040,Kings County,696365.9473363963,655832.4962588288,-40533.45107756753
62043,Kings County,573244.6757867356,458898.38404997,-114346.29173676559
70828,Gwinnett County,252394.09437221545,161254.45034275888,-91139.64402945657
90769,Dallas County,65427.0294280506,44377.191049776775,-21049.838378273824
97567,San Francisco County,744413.1667898946,512150.49782271305,-232262.66896718153
84619,Cook County,86739.40296910326,50156.341188124126,-36583.06178097914
89925,Canadian County,112984.78122726428,144313.05371843986,31328.27249117558
62015,Kings County,639398.6081751351,606448.2722994465,-32950.33587568859
69431,Wake County,292203.30644375255,255285.18919779823,-36918.117245954316
91889,Harris County,198193.4159202265,190457.70679115693,-7735.7091290695535
96934,Riverside County,572127.6395676302,319085.6842319248,-253041.95533570542
61793,Bronx County,363680.57568294415,307984.21896596224,-55696.356716981914
417444,Maricopa County,377207.48118516896,173218.22987000653,-203989.25131516243
70810,Gwinnett County,330485.29566917097,250420.35089896887,-80064.9447702021
97940,Santa Clara County,802278.9895218272,538442.6843629716,-263836.3051588556
93137,El Paso County,157974.64801458173,144470.04459016884,-13504.603424412897
61797,Bronx County,407563.7425608579,299321.2603989137,-108242.48216194421
92598,Hays County,152107.8756500938,148709.90481870403,-3397.970831389772
96488,Los Angeles County,488573.6931421307,259413.63378229155,-229160.05935983913
97189,Tulare County,218558.39359501927,108165.63657146164,-110392.75702355763
62067,Queens County,621427.3193528014,595571.6552315498,-25855.66412125167
84625,Cook County,130864.2170457502,41149.91808659402,-89714.29895915618
96888,Riverside County,419415.0830002492,184690.02059833248,-234725.0624019167
97328,Los Angeles County,343613.87373406306,125430.24076683568,-218183.63296722737
62014,Kings County,427275.1745429831,335140.29472599784,-92134.87981698528
84610,Cook County,282925.18800829904,167277.5966070829,-115647.59140121614
84627,Cook County,364849.7765675114,264089.3716305038,-100760.40493700758
67182,Prince William County,436007.5163279856,260603.29783633616,-175404.21849164946
98325,Sacramento County,576858.0161678164,362807.1241022961,-214050.89206552028
92520,Hidalgo County,60314.16371459566,67936.99654844393,7622.832833848268
95315,Bernalillo County,166125.47566323163,129434.73552691242,-36690.740136319204
61808,Bronx County,198332.62560745268,156392.09750867294,-41940.52809877973
62029,Kings County,737248.9750138879,689448.837082448,-47800.13793143991
96208,Los Angeles County,592350.8848126099,336140.371755145,-256210.51305746485
69816,Mecklenburg County,167282.82324810664,135284.78901412705,-31998.03423397959
69450,Wake County,152881.22054475636,123709.6877047298,-29171.532840026557
97318,Los Angeles County,325970.93715420977,119090.21281975176,-206880.724334458
98848,Honolulu County,504587.9524043484,418864.87116014055,-85723.08124420786
93123,El Paso County,191059.84372753665,181168.244881734,-9891.598845802655
97004,Orange County,692880.129030429,358792.4141279549,-334087.714902474
91221,Tarrant County,207679.7842525043,193953.61777311703,-13726.166479387262
97202,Tulare County,260166.0251076141,121842.77936567004,-138323.24574194406
91950,Fort Bend County,220076.4558824776,207386.0981374931,-12690.357744984503
61809,Bronx County,409305.042173377,269080.5969449664,-140224.4452284106
97751,Alameda County,614591.8897843118,294440.66041660385,-320151.2293677079
61802,Bronx County,430032.2861133662,331701.4106632589,-98330.87545010727
71067,Fulton County,138441.42863129606,56585.24281575796,-81856.1858155381
97740,Solano County,496724.2042223104,185212.11151562017,-311512.0927066902
92576,Williamson County,233771.67262563875,213815.83300488984,-19955.839620748913
96364,Los Angeles County,585682.7272064722,315567.9107529393,-270114.8164535329
69672,Cabarrus County,194690.84630531352,162935.3246321604,-31755.521673153125
99500,Snohomish County,541161.060245079,350115.54923901806,-191045.51100606093
84635,Cook County,327284.0353210272,178000.87019707798,-149283.16512394923
62023,Kings County,438392.4550650192,330546.7244867341,-107845.73057828512
73221,Orange County,403234.7114535628,199462.13852125945,-203772.57293230333
87074,Johnson County,233208.66887949055,222258.78222513077,-10949.886654359783
61806,Bronx County,381190.9117744065,287076.6268009325,-94114.28497347399
62087,Queens County,618443.3226901225,601137.1669364269,-17306.15575369564
67732,Virginia Beach City,302052.67867864546,251261.068208075,-50791.61047057045
96467,San Bernardino County,697626.065908689,451501.1374152203,-246124.92849346873
74242,Davidson County,169816.01917126452,148065.3488632669,-21750.670307997614
90612,Collin County,226946.49082955773,220842.4517225267,-6104.039107031043
72578,Palm Beach County,372636.11041801446,190247.7339868215,-182388.37643119297
91732,Harris County,131079.9006145483,112334.76283746376,-18745.137777084543
96545,San Diego County,601829.5802195985,341320.98451023333,-260508.59570936515
399724,Fort Bend County,213715.61286007645,194276.78751207213,-19438.82534800432
97435,Fresno County,316669.82886965986,149214.81036713987,-167455.01850252
91325,Tarrant County,208120.2463244376,191499.64420060103,-16620.60212383658
99534,King County,723186.4905426167,527906.7052875956,-195279.78525502107
72362,Broward County,320340.6238497459,147398.3834839279,-172942.240365818
86026,Saint Charles County,208343.4723996921,173164.9578645246,-35178.51453516752
92515,Hidalgo County,88242.96761958086,92850.64972264475,4607.682103063897
95984,Los Angeles County,341266.7687292142,160260.48425520703,-181006.28447400717
73233,Saint Lucie County,295477.3278136358,121880.45645406732,-173596.8713595685
97721,Contra Costa County,747435.0392131517,320630.6416775139,-426804.3975356378
70835,Walton County,239239.82231755005,132710.5392795944,-106529.28303795564
97319,Los Angeles County,412649.8832012288,189408.36953643893,-223241.51366478988
61803,Bronx County,240060.63313409724,199433.52586731664,-40627.1072667806
90780,Dallas County,108400.27286447777,94385.1408656494,-14015.131998828365
62179,Queens County,457183.23468856886,348697.9228231219,-108485.31186544697
96465,Los Angeles County,503509.2004660941,272834.6755335654,-230674.52493252867
70825,Forsyth County,281592.42497159337,219114.09233520672,-62478.33263638665
78085,Lake County,177037.84622030877,185850.14634258603,8812.300122277258
65787,Philadelphia County,85515.92174407179,75663.51038314716,-9852.411360924627
90764,Dallas County,96399.39023768016,77118.9577811297,-19280.43245655045
93203,Arapahoe County,269628.68310659047,222981.86361331065,-46646.81949327982
96667,San Diego County,620185.2351013249,444134.0386722724,-176051.19642905245
96911,Riverside County,391848.8289436119,152744.586367462,-239104.24257614987
62026,Kings County,1031671.7565321636,1086594.1493722352,54922.39284007158
70826,Forsyth County,323104.1034555168,260119.7203702679,-62984.383085248905
97745,Alameda County,707984.7248713905,464404.5338174761,-243580.19105391437
94820,Maricopa County,289143.97616351204,141073.09965368014,-148070.8765098319
72530,Broward County,189047.81631466924,69587.3847076487,-119460.43160702054
98930,Honolulu County,568917.111210483,481097.700639107,-87819.41057137604
95804,Clark County,304736.7108932156,89359.76588627293,-215376.94500694267
94410,Utah County,275983.729359816,220509.95932917015,-55473.77003064586
96590,San Diego County,538334.159011886,322995.941385706,-215338.21762617998
96918,Riverside County,550163.9665005044,285655.7941419196,-264508.1723585848
77400,Butler County,179889.64536183243,156048.26912745342,-23841.376234379015
91198,Johnson County,153472.91838537544,140050.99415583076,-13421.924229544675
70832,Gwinnett County,245162.0813138261,159581.27771191997,-85580.80360190611
67180,Prince William County,435741.1505100227,244031.90898918416,-191709.24152083855
69823,Mecklenburg County,289432.7994109778,251093.09728909307,-38339.70212188474
72361,Broward County,236207.97965682583,107445.55961404566,-128762.42004278017
97222,Kern County,281712.7182544991,117982.2912672438,-163730.42698725528
62020,Kings County,754244.7687251284,721954.7347625404,-32290.033962587942
91744,Harris County,179745.34797884128,172172.2045422074,-7573.143436633894
84622,Cook County,74427.2769934083,48566.62795138517,-25860.649042023135
98411,Placer County,533862.5597131248,308421.9029252743,-225440.6567878505
70904,Cobb County,208922.6352510066,133759.01177007137,-75163.62348093523
95770,Clark County,366485.9626266767,121426.42264216991,-245059.5399845068
66705,Montgomery County,458927.9803170278,289800.645015071,-169127.3353019568
84340,Lake County,153058.1862988449,65842.04156403254,-87216.14473481236
94940,Yuma County,225214.91095950452,106680.14298284311,-118534.7679766614
91291,Tarrant County,165478.06734596548,145093.60053504733,-20384.46681091815
96647,San Diego County,406020.57541280537,217874.97403858227,-188145.6013742231
97167,Kings County,246290.74186521163,151952.25382940422,-94338.48803580742
93205,Arapahoe County,318832.043606366,276936.54216578667,-41895.501440579304
96477,San Bernardino County,530217.3073535888,279271.9121358572,-250945.39521773154
96110,Los Angeles County,538929.305119351,267177.8168566018,-271751.4882627492
99142,Washington County,518517.9892035984,402966.5801324647,-115551.4090711337
90638,Collin County,313259.4269014785,307168.08789513743,-6091.3390063410625
97565,San Francisco County,921516.6695275252,760484.5618534669,-161032.1076740583
91941,Harris County,195426.14730987683,200533.18564590975,5107.038336032914
71005,Henry County,183388.76090948327,97693.87234244798,-85694.88856703529
72737,Hillsborough County,398606.8466751293,232703.9459527838,-165902.9007223455
60565,Passaic County,314795.12183427444,202921.8304367268,-111873.29139754764
97743,Alameda County,775631.4106017315,534874.8581461479,-240756.5524555836
93263,Douglas County,338566.3312531112,319080.9544131048,-19485.376840006385
62024,Kings County,591902.4990393228,500510.4986565393,-91392.00038278353
66126,District of Columbia,386160.7174521408,361033.9873293105,-25126.73012283031
97118,Ventura County,700095.803387952,432069.7510177852,-268026.0523701668
74156,Sumner County,221364.0653147815,203467.4570941776,-17896.6082206039
84654,Cook County,530378.8830166088,409201.26989675616,-121177.61311985261
97075,Riverside County,600656.5862871364,324324.3862912394,-276332.199995897
72363,Broward County,316314.3242900713,153321.37730867203,-162992.9469813993
65791,Philadelphia County,76044.4493421738,66736.1276612301,-9308.3216809437
92350,Bexar County,172506.66663257682,164480.81428129558,-8025.852351281239
97764,Napa County,601387.9804800618,353970.229119622,-247417.75136043987
60642,Hudson County,307075.70446762216,181573.06597552737,-125502.63849209479
69699,Mecklenburg County,254173.9137010233,218372.0786895306,-35801.83501149269
399648,Ada County,316859.17775848444,206394.35185222296,-110464.82590626148
96506,Los Angeles County,507119.4351292725,246605.59732732785,-260513.83780194467
65133,Lancaster County,147646.00833536324,140169.4915468859,-7476.51678847734
71871,Duval County,197000.7610144347,110265.01156799492,-86735.74944643979
84616,Cook County,670979.3210738669,521439.4017110046,-149539.9193628623
72488,Miami-Dade County,384004.99920384976,194065.02358183105,-189939.9756220187
72353,Miami-Dade County,359424.4482214286,172377.61385889817,-187046.83436253044
72350,Miami-Dade County,401915.9436030439,178892.80239627822,-223023.1412067657
84641,Cook County,345318.47350479534,183512.298729244,-161806.17477555134
96186,Orange County,642817.7738371103,394009.7751034308,-248807.99873367947
62012,Kings County,729302.472880282,726280.5173451205,-3021.9555351614254
94748,Maricopa County,300003.6568935083,137603.68938527038,-162399.9675082379
70791,Fulton County,367843.4835585597,298045.8835733854,-69797.59998517425
91885,Harris County,174945.91184846684,162066.09306348173,-12879.81878498511
62084,Queens County,429237.3167893247,365335.55052297766,-63901.766266347026
97020,Orange County,596786.8237641813,328024.1239553416,-268762.69980883977
98378,Solano County,533443.0208923715,233616.0075293573,-299827.0133630142
61957,Rockland County,428323.3648070796,323158.02680387,-105165.33800320962
58710,Plymouth County,329782.9518739784,215892.23621216152,-113890.71566181691
97792,Alameda County,786509.6207380471,464023.3599174761,-322486.260820571
61641,New York County,45796.54100275607,66083.09694158791,20286.555938831836
72252,Orange County,403938.9615492989,202051.53900133725,-201887.42254796164
78823,Tippecanoe County,178490.877573931,172351.70765719796,-6139.169916733052
91860,Harris County,173438.31483977157,166750.17896907474,-6688.135870696831
95309,Bernalillo County,233399.62011852497,189460.2926237095,-43939.32749481546
97024,Orange County,594307.670959815,321315.8036079525,-272991.86735186254
95817,Clark County,267502.9370503199,82901.2794497565,-184601.65760056343
98319,Sacramento County,495883.73387438245,241736.37265202845,-254147.361222354
62021,Kings County,576024.4556167513,514971.4854801395,-61052.97013661184
90665,Denton County,184339.32052382093,181155.4586632524,-3183.861860568548
60594,Hudson County,386954.8054794553,219028.3959296062,-167926.40954984908
97748,Alameda County,599821.6727010789,280795.0947424223,-319026.57795865665
79054,Washtenaw County,203804.93284570123,131081.20205333616,-72723.73079236507
96007,Los Angeles County,662733.2397545074,431341.6455157636,-231391.59423874383
61812,Bronx County,577539.8662160699,372165.0470170765,-205374.81919899338
97717,Contra Costa County,497652.4736784315,181092.08463377217,-316560.3890446593
71864,Duval County,146798.14118084023,76421.64214614186,-70376.49903469837
76511,Franklin County,212934.61341553787,192386.66371487256,-20547.94970066531
97991,Santa Clara County,799700.8423834773,503953.74151228863,-295747.1008711886
96656,San Diego County,434622.0927595923,241110.6389300339,-193511.4538295584
62223,Suffolk County,504519.6741153824,403347.8692207676,-101171.80489461485
72460,Miami-Dade County,395357.7520417961,171450.77347009932,-223906.9785716968
70874,Gwinnett County,228867.0818792887,148241.9310204965,-80625.15085879219
61895,Westchester County,437378.0904067202,347405.61164595274,-89972.47876076744
65779,Philadelphia County,174373.047254038,148298.8317998227,-26074.2154542153
90690,Collin County,197020.72690873887,182986.0248815508,-14034.702027188061
91685,Harris County,128931.82965237524,116174.64411306892,-12757.185539306316
66843,Baltimore County,234088.66404519617,178942.72266475958,-55145.94138043659
96411,Los Angeles County,517702.015687606,261662.67416336003,-256039.34152424597
70808,Fulton County,356647.50702914986,297953.4134212381,-58694.09360791178
72247,Orange County,226468.6029470733,86110.51811957704,-140358.08482749626
62022,Kings County,643530.4535863786,611365.1195734433,-32165.334012935287
66135,District of Columbia,384122.2665415322,308263.624830495,-75858.6417110372
95806,Clark County,283583.1638884813,79954.3216353795,-203628.84225310176
84640,Cook County,324185.7406564204,245145.81200609807,-79039.92865032234
73183,Lake County,317471.8814292496,163203.7738404798,-154268.1075887698
96113,Los Angeles County,478241.1276542214,239978.3306373287,-238262.79701689267
