2007-03-31,2012-03-31,Percent Gain,State
242772.3147833642,182367.6806322916,-24.881187216497146,MO
773078.0208032778,419696.99860303104,-45.71091308909043,CA
322541.0616756384,284402.3805188652,-11.824442121768419,NC
659440.043218079,460562.0290379344,-30.15861960848123,MD
346729.14488218195,253606.9987065591,-26.857317173976135,MN
341813.8429712119,264774.4902201645,-22.538394607247014,WA
586281.6000722355,280808.9162008958,-52.10340625284889,NJ
687819.8070460497,320453.0093268608,-53.410325488721156,NV
385570.8363367999,200774.73930686727,-47.92792390255144,FL
1215068.9681188045,886338.9291619883,-27.05443456973171,CA
248186.31106161853,232691.7452833813,-6.243118611964993,NE
140323.94372984592,105545.49116700288,-24.784403600998495,OH
553424.4010804343,308765.5869210428,-44.20817254926802,AZ
365464.46090730216,254240.10574243663,-30.433699322976548,FL
622343.2764130092,432968.8548285421,-30.429254844040678,NJ
430063.6209330559,408757.73266162473,-4.954124746754074,TX
196008.92194275768,211074.03181931257,7.68593068480552,TX
599036.4087092675,216992.6903375587,-63.77637699766717,CA
312531.7459732808,304822.9412488077,-2.466566940413195,TX
333479.4036803948,205939.10745232188,-38.24532934283012,GA
783843.0996221531,443864.5359821022,-43.37329292098578,CA
397168.76591489,271751.2051299818,-31.57790127227279,ID
341238.7736037481,272459.83473893185,-20.155663478231656,VA
569122.2471272991,304502.8836074593,-46.49604981276557,AZ
234206.0250615511,208753.20192105309,-10.867706385354015,NC
355278.1465259496,318614.59639958345,-10.31967501656853,WI
480689.6456666365,167350.339231709,-65.18536632932421,NV
518389.46319853485,205304.9446559359,-60.3956177293466,CA
286199.8452304715,158268.12782224847,-44.700135077013044,FL
519857.9740362868,259632.8285552656,-50.05696911034727,FL
316558.2940767415,289015.60843603977,-8.700667825188846,TX
226394.28411979624,186653.695155708,-17.553706852006723,AL
430754.8804923242,199215.41422155988,-53.75202389027609,AZ
261314.98747547343,182627.5348302079,-30.112108534398928,FL
408869.1455349703,408013.7290069892,-0.20921523116199658,AK
434367.54927630565,347006.2651278382,-20.112295288637238,VA
575776.0615957634,325555.8843161903,-43.45789864658281,FL
208071.6393894677,212256.8862766367,2.0114451443020043,NC
153254.51146286147,111488.49089149818,-27.252718482929982,AL
455867.6598037,195982.57125143704,-57.00888908508479,FL
200589.56676086705,180293.79938488855,-10.1180573365384,TX
437799.4431389665,179854.62845178074,-58.91848852930332,FL
860680.333004915,799457.2247072639,-7.1133388262633375,VA
1036007.2357031744,607932.4471945823,-41.31967169303048,AZ
342696.2888787549,276677.50184751087,-19.264517642501023,VA
328587.4533783015,169027.2283032605,-48.559439331768985,FL
825618.5165946264,484998.6585168811,-41.2563249529186,CA
1299791.1344394088,944687.77564552,-27.3200323794363,CA
625469.4076056713,300331.1817696852,-51.983074133174924,CA
256036.19353484453,237018.8377484343,-7.427604481950755,SC
751980.992237431,438337.639826104,-41.70894685490894,FL
208234.53667570368,158031.9541904644,-24.108672502978134,MI
474938.33087694907,241835.8592385772,-49.080576673598905,FL
284395.6140932241,264992.5578018997,-6.822558200550932,AR
