2022-06-30,2023-02-28,Percent Gain,State
274328.0436127218,273909.330435116,-0.15263229092132846,WI
308771.2916438265,312639.2799671833,1.2527033529459608,OK
713591.7922443263,691667.3554766506,-3.0724059617783572,NC
620426.696289852,586267.6087568583,-5.505741087104232,AZ
654307.5663563398,625752.1982809383,-4.364211808586993,CO
304328.2633538687,298965.71208442433,-1.7620943945021783,NY
378145.3332369384,373534.16184826335,-1.2194177696715824,MO
403135.7698756542,397481.5547951426,-1.4025585182519507,OH
1178927.920138796,1120050.8087004211,-4.994123086968994,CA
604715.4561059024,601944.571114225,-0.45821302625879134,VA
514394.7675387632,495058.4721610457,-3.759038115849489,CA
743707.9511723925,731294.1416461054,-1.6691780028326608,FL
1606875.7896420255,1400440.836235843,-12.84697639586514,CA
340007.4070301131,347110.44193501974,2.0890824017482545,OK
523986.7027849204,500318.5897152067,-4.516930094584614,MN
660335.0960893921,627910.8374660866,-4.910273407445254,CO
472177.3762743383,468450.2634153399,-0.7893459208924258,TX
1581159.102038296,1488173.6545293136,-5.88084066866601,HI
514995.2749608344,514652.51835893,-0.06655529061513343,TN
419480.28030415,410055.092072193,-2.2468727791263854,TX
383215.4611720999,379470.7879978789,-0.9771717359126297,LA
569508.6393338831,536694.6876897475,-5.761800502713332,LA
299318.74279177416,303325.7440925983,1.3387071131765627,KS
174177.29176234922,173906.5758328537,-0.1554255016577577,OH
800454.7424036944,768077.5399634832,-4.04485109838757,CA
1110952.5988718297,1052490.407189916,-5.262347983278682,CA
658714.4698504024,633466.2518457224,-3.832953299236619,WA
569132.5084397992,531824.0733185471,-6.555316129020317,CA
680145.133126927,673925.7620233776,-0.9144182323199468,GA
336996.31241759984,341733.00122472324,1.4055610202801772,SC
384191.0146999827,386186.0179917899,0.5192738027371968,NC
334678.4237471624,331354.7464043012,-0.9930957919689787,IN
446899.6708938728,448909.5338508642,0.44973471405145293,KY
1314013.0648974667,1313783.4378528905,-0.017475248207987626,FL
688424.5255122845,652078.0611707758,-5.279658552905541,NV
344610.36034607526,340349.9584533205,-1.2362953593375026,TX
297134.3491531233,295552.9950884877,-0.5322017024092518,MO
954048.6359806828,903827.5168903652,-5.263999883894233,CA
588933.4689713232,566650.7909653945,-3.7835645586333233,NC
717624.8091509705,687043.5376121252,-4.261456843308753,MD
430677.95133824815,417278.9459126385,-3.111142649391463,MN
585064.2230359311,555354.7881077323,-5.077978409623974,WA
509942.5496783676,525614.6290038801,3.073302930966859,NJ
893279.6309670992,807345.6459350147,-9.620054242034948,NV
637335.5279410746,627763.0342410965,-1.5019551367083217,FL
1964632.713657514,1905635.9967562896,-3.0029387422441656,CA
398682.45294889,396637.73773104587,-0.5128681241725608,NE
185859.82647069244,185183.41456168587,-0.36393658697041475,OH
743629.999782638,705504.7971005376,-5.126904871138116,AZ
445113.9012658356,444558.9191907428,-0.12468315941482899,FL
910443.991072046,890928.3103625184,-2.1435344624053054,NJ
746388.7420714909,713766.8502465514,-4.370630207310233,TX
327450.61405655293,326379.0473942787,-0.3272452749437105,TX
570099.1356602522,540307.9258959921,-5.225619177576513,CA
630814.7024911281,613628.1867057219,-2.724495119967174,TX
471966.0705338672,460176.6764495985,-2.4979325464928204,GA
1060755.7336055664,986819.9334082413,-6.970106109727392,CA
741070.22839704,678158.27450248,-8.489337647612782,ID
546335.7277622423,497164.8728164231,-9.000117042906929,VA
793052.7823782034,752845.8720266145,-5.069890837658564,AZ
357815.5850046045,363882.0953537491,1.6954293226401962,NC
528794.3146690833,522792.36436949467,-1.1350254972662954,WI
300243.281357785,298550.0559391528,-0.5639511435443167,TX
478188.1665127617,454129.82621352334,-5.031145056283249,NV
572911.738511886,553810.019171611,-3.3341469647472755,CA
409437.50128379074,403867.7446130362,-1.3603435575125777,FL
605361.586340801,599594.250287417,-0.9527092870635467,FL
577063.7485730493,570571.4937724775,-1.1250498435616096,TX
300901.7247328798,303308.7924990345,0.7999514686369835,AL
553688.6122639751,525269.6304532494,-5.132665036133465,AZ
413162.3118061468,411747.9906271787,-0.34231611610104906,FL
534965.4931218809,529451.811772061,-1.0306611212704375,AK
533580.2327920785,529393.7587155827,-0.7846006690669927,VA
